IsGood.Purchase,Critic.Ratings,Acq.Cost,CurrentAuctionAveragePrice,Brush.Size,CollectorsAverageprice,Is.It.Online.Sale,Min.Guarantee.Cost
0,6.5403,46900,55559,2,11528,0,5775
1,8.6889,36400,31654,NULL,8250,0,4158
0,6.899,59500,46865,1,10371,0,8505
0,8.0949,55300,63119,2,13098,0,15064
0,5.2774,79345,55097,1,12011,0,5278
1,7.2191,49700,49231,NULL,11456,0,3983
0,5.9858,32200,19516,1,5894,0,8540
1,7.9576,27300,17444,NULL,6233,0,6083
1,7.3291,28700,20279,1,6242,0,8085
1,5.0227,52500,46410,NULL,11283,0,7021
0,8.2146,65800,43981,1,10237,0,8981
0,5.8024,39200,35784,2,8474,0,4697
0,4.0919,53900,43323,2,10137,0,4361
0,8.7643,32200,26593,2,7138,0,5061
0,8.0968,32200,26600,2,7069,0,8701
0,5.0308,67445,62167,1,626,0,7602
0,8.0795,53900,65170,1,512,0,11431
0,6.2239,63945,76181,1,1730,0,8505
1,8.7008,48300,44604,1,10044,0,10521
0,6.406,52745,47215,1,10837,0,5096
0,7.7677,29400,20265,2,5806,0,7721
0,5.8888,44100,28007,1,7777,0,6797
0,6.3557,49700,57351,2,12069,0,5096
1,9.0026,55300,57638,1,12839,0,8463
0,8.9705,42700,43225,1,10529,0,12341
0,6.4511,28700,17360,1,5334,0,4410
1,7.5513,63700,65212,1,285,0,13818
0,8.0608,40600,29582,1,8488,0,9611
1,9.5558,25900,16597,1,5133,0,11487
0,3.5796,41300,38157,2,8996,0,3234
0,8.3501,51100,55020,1,11309,0,7791
0,7.0148,51100,70259,1,1165,0,4802
0,7.6052,34300,36855,2,9253,0,5621
0,7.2479,32200,31073,1,8124,0,3983
0,8.4542,31500,25991,2,7355,0,6881
0,6.1081,41300,52290,1,11692,0,7140
1,8.6483,58100,46298,1,9970,0,14441
0,4.3898,39200,33852,2,8731,0,4361
0,5.7338,52500,62517,1,12901,0,4116
1,5.9425,60900,45276,NULL,10963,0,7959
0,7.9957,53900,46886,2,10930,0,9723
0,7.8559,56000,50162,1,10335,0,6902
0,4.8386,50400,58331,1,11977,0,4361
0,8.0117,56700,54250,1,12097,0,9891
0,6.5795,21700,21847,1,5710,0,7140
0,5.1145,52500,39942,2,11239,0,11081
0,8.8366,30800,17591,1,5810,0,6881
0,5.5909,59500,58240,1,12385,0,8183
0,8.6702,70700,80640,1,2920,0,5971
0,8.1424,48300,53193,1,11411,0,5971
0,6.5379,53900,40229,2,9315,0,4410
0,7.4954,62300,48020,1,10322,0,8085
0,4.9328,51800,36428,1,7691,0,7938
0,7.381,28700,18613,2,5186,0,10185
0,4.3412,40600,44121,2,9562,0,6825
0,7.8412,35700,28931,1,6917,0,8085
0,7.4026,71400,56924,1,12297,0,6440
1,6.4822,42700,30429,1,7529,0,7196
0,8.0491,65800,52192,1,11808,0,6881
0,8.5003,39200,32515,2,8378,0,11431
0,6.5711,32900,37926,2,8800,0,8505
0,5.6064,79100,69454,1,1920,0,5278
0,6.223,70700,70833,2,1101,0,8505
0,6.219,37800,37842,2,8912,0,3731
0,6.7426,65800,54530,2,12002,0,7826
0,7.5806,60200,54719,1,11348,0,7266
0,8.8991,41300,30464,2,7885,0,15064
0,8.9849,69300,105749,1,3072,0,6881
0,8.1338,55300,64680,1,1445,0,8701
0,8.0077,46200,35994,1,8841,0,9611
0,7.7233,32200,14693,2,4813,0,12642
0,6.6681,66500,58436,1,11496,0,5096
0,8.2526,36400,21350,2,5703,0,14441
0,8.193,67900,73304,2,1944,0,4158
0,7.4131,74200,63700,1,1372,0,9723
0,7.2417,35700,21448,2,5824,0,7721
0,6.4118,70700,61558,2,12937,0,8505
0,7.1423,61600,53704,1,11423,0,9723
0,6.465,47600,28714,2,7320,0,11921
0,8.5388,35000,28756,1,7644,0,8701
0,9.5443,30100,19327,2,6968,0,9387
0,6.9337,45500,39697,1,10088,0,5096
0,4.6563,42700,36708,2,8746,0,3374
0,8.4905,37800,35112,1,8033,0,5061
0,7.1062,57400,58135,1,12653,0,13818
0,8.0999,55300,52332,2,10915,0,15064
0,6.6545,54600,83097,1,2731,0,9877
0,6.7785,30800,16765,1,5482,0,5096
0,7.1952,52500,69881,1,226,0,8904
0,7.0741,48300,46445,1,10520,0,8904
0,9.4318,49700,38913,2,9325,0,6440
0,6.944,60200,43855,1,10361,0,9191
0,5.4268,36400,26019,2,6949,0,5278
1,5.9072,35700,24206,NULL,6645,0,10283
0,8.6028,44100,28007,2,6832,0,4158
0,6.4677,59500,49973,1,321,0,4410
0,6.8874,28700,19677,1,5963,0,7875
1,6.4554,37100,20314,1,6000,0,9240
0,7.3988,49945,40306,1,11523,0,7266
0,2.3881,43400,29155,2,8833,0,3234
0,5.0532,39200,35903,2,8616,0,3535
1,6.0554,43400,30380,2,8167,0,11921
0,9.1558,68600,55223,1,10902,0,10479
1,6.3377,58100,36393,1,8418,0,8561
0,5.9391,53200,31122,1,8791,0,3535
0,4.4367,44100,43666,2,9341,0,3374
0,4.4515,42700,24759,2,6729,0,5838
0,8.3238,35700,16954,1,5396,0,37744
0,9.2532,44800,32977,1,7996,0,13510
0,6.8165,51100,46221,2,10360,0,5096
0,8.7775,32200,23835,1,6982,0,8701
0,8.6414,40600,23037,1,6115,0,8071
0,3.6142,44100,40348,1,9096,0,4074
0,8.0788,28700,19229,2,6008,0,5061
0,9.3346,46200,43043,1,10656,0,12418
1,7.3963,44800,42399,2,9544,0,9723
0,6.8183,46200,33621,2,8276,0,3731
0,6.4839,72800,56791,1,12209,0,8505
0,7.5484,49700,34097,1,8401,0,6083
0,5.9287,42700,23982,1,6548,0,6440
0,6.3151,49700,46914,2,11495,0,6461
0,4.6695,81900,63140,1,628,0,4851
0,5.8897,45500,27839,1,7666,0,12600
0,6.5363,73500,56910,2,12700,0,8505
0,7.5237,46200,34531,1,8411,0,11823
0,8.5042,32200,32438,1,8453,0,6881
0,8.7701,50400,47705,2,10635,0,15064
0,9.2816,53900,40390,1,9651,0,11487
0,9.7221,32200,20153,2,6241,0,14518
0,7.3726,28700,20622,2,6232,0,6440
0,4.755,54600,33908,2,8785,0,9786
0,6.3079,32200,17437,2,5377,0,8505
0,6.4064,35000,23716,2,6525,0,3731
0,8.8027,39900,32725,1,7716,0,8071
0,8.2164,39200,26250,2,7179,0,4158
0,8.4763,41300,35126,2,8316,0,5971
0,5.2113,39200,25312,2,7022,0,5278
0,4.9893,46200,43190,2,9598,0,6825
0,9.2782,32900,23240,1,6557,0,8463
0,4.6001,45500,35910,2,8521,0,6825
1,6.299,58100,37163,2,10372,0,7140
1,7.8992,58100,46613,1,10402,0,8085
0,6.4458,51800,46445,1,10520,0,7826
1,6.0522,41300,24738,2,8129,0,8505
1,7.3725,41300,38500,1,9050,0,15918
0,7.1214,56000,56105,1,11801,0,3983
0,6.053,44100,22694,1,6936,0,8505
0,6.6695,42000,24962,1,7370,0,5775
0,8.903,53900,51303,1,12392,0,11431
0,3.6425,45500,40096,2,8602,0,3234
0,5.8823,40600,26509,1,9090,0,5278
0,7.2592,65800,53956,1,11747,0,9723
0,7.9015,60900,70959,1,932,0,9723
0,8.8667,27300,18900,1,5775,0,18984
0,5.8499,44100,36260,2,8498,0,7602
0,9.5025,39200,40418,1,11085,0,10395
0,5.0644,52500,55020,2,11663,0,5278
0,8.8832,40600,36526,1,9047,0,8701
0,6.804,19600,14777,2,4963,0,7875
0,5.8384,58100,54495,1,12214,0,10500
0,7.9284,49000,47726,2,10849,0,6440
0,8.0906,66500,56637,1,12444,0,7791
0,9.4011,41300,31248,1,8064,0,10395
0,8.6875,77700,48874,1,9688,0,11711
0,6.1319,50645,50533,2,10941,0,3731
0,7.9333,42700,19978,2,6463,0,9723
0,9.2897,37100,22176,2,6247,0,18557
0,5.9801,55545,47551,1,9873,0,5278
0,7.5108,51800,38745,1,10021,0,7266
0,6.7696,51100,31339,2,8334,0,6510
0,5.0385,51100,40131,1,10448,0,6440
0,5.845,50400,38920,2,10283,0,11081
0,7.507,44100,51338,3,11588,0,3983
0,7.387,38500,33740,1,8326,0,8085
0,4.3535,40600,30345,2,8885,0,3374
0,5.5683,42000,35126,2,8316,0,4697
0,5.8681,44100,39564,2,9064,0,3535
0,6.2795,43400,25445,NULL,8002,0,3731
0,7.7178,65345,47187,NULL,11249,0,12180
1,6.943,39200,28063,NULL,7868,0,5096
0,8.6466,51800,57337,NULL,12488,0,5061
0,6.948,32900,29848,NULL,7715,0,7140
0,8.6344,49000,38192,NULL,9206,0,10801
0,7.903,49700,27265,NULL,8940,0,8540
0,9.4506,32200,16947,NULL,4693,0,15526
0,7.7786,51100,53263,1,11876,0,6440
0,6.743,35700,20902,2,6658,0,5775
0,7.3409,49700,37002,1,8948,0,7266
0,6.0201,44800,44051,2,9631,0,5775
0,4.9296,59500,51338,2,11977,0,4361
1,6.1315,46900,45878,1,10341,0,5096
0,8.4454,46900,40985,1,10104,0,5971
0,8.5262,50400,49546,2,11226,0,28224
0,7.2993,53200,61460,1,40,0,13818
0,8.9769,34300,22470,2,6717,0,5971
0,6.855,33600,25564,2,6661,0,3731
0,6.2955,69545,64449,2,12862,0,8505
0,7.5101,35945,29568,2,7509,0,5621
0,8.8173,42700,52836,1,971,0,4158
0,5.2791,51800,46018,2,10776,0,10500
0,8.5334,58345,50596,1,11543,0,10521
0,6.903,52745,57750,2,11929,0,6461
0,6.4555,55545,35910,1,10229,0,9191
0,6.6433,25200,11382,1,4457,0,9240
0,7.705,55300,47278,2,12350,0,9723
0,8.4388,63000,61880,2,146,0,4158
0,5.2866,46200,51198,1,11274,0,5278
0,4.568,32200,21427,2,6065,0,8925
0,6.3496,43645,46382,2,10307,0,3731
1,7.8593,32200,22694,NULL,6290,0,7721
0,9.3395,21700,17934,2,4937,0,11487
0,5.3463,30100,26523,2,7829,0,3535
0,8.3081,42700,29869,1,7667,0,9611
0,7.3159,58100,41580,1,9968,0,9723
0,7.5157,51800,45661,1,11256,0,5621
0,7.3516,38500,25284,2,7082,0,8085
0,6.5459,41300,26719,2,7648,0,4410
0,9.2792,32900,20916,1,5496,0,18557
0,8.2271,46200,37772,1,8880,0,5971
0,8.8723,34300,24325,2,7255,0,6881
0,7.202,32900,30401,2,7846,0,5621
0,7.738,36645,27349,2,7760,0,9723
0,5.0773,35000,33810,2,8536,0,7602
0,5.8929,38500,23436,2,7302,0,5278
0,7.9898,35700,20720,1,6041,0,15918
0,9.1773,47600,58996,2,12802,0,11410
0,6.2271,60200,39648,1,10209,0,7140
1,6.6568,43050,33425,2,8475,0,8505
1,6.3079,40600,42175,2,9648,0,5096
0,8.2158,53200,38381,1,9471,0,10801
0,6.034,39900,25732,2,8295,0,9877
0,9.2974,41300,37688,1,9629,0,12418
0,7.497,53200,44513,1,10483,0,4802
0,6.2233,70350,86030,1,2464,0,10556
1,7.9081,38500,28119,1,8223,0,6440
0,5.5756,31500,16149,2,6039,0,7378
0,5.3642,53200,42315,2,9834,0,5859
0,7.3831,55300,53172,1,11906,0,13818
0,8.8528,47600,51590,2,11684,0,15064
0,9.4071,35700,21658,2,6566,0,16457
0,3.8837,50400,49938,2,10546,0,4914
1,8.9443,42700,45437,2,9797,0,7791
0,9.7581,26600,17738,2,5247,0,4340
0,8.5894,35700,42763,2,9091,0,10521
0,5.2775,64400,59948,1,13191,0,3535
0,5.3544,43400,44597,2,9721,0,7602
0,6.8344,29400,22064,2,6255,0,5096
0,7.9708,39200,28721,2,7703,0,5621
0,7.9352,28000,25697,2,7349,0,6440
0,7.1227,44800,40397,1,10782,0,11361
0,4.3795,49700,35616,1,10083,0,6335
0,7.9986,63000,70819,2,62,0,9723
0,7.3638,51450,23975,1,6891,0,6902
0,7.4697,47600,32088,2,7355,0,3983
0,8.4349,38500,41020,2,10755,0,10521
0,6.9902,54600,38101,2,9376,0,8505
0,7.0523,47950,58023,2,13028,0,13818
0,6.3908,62650,56385,2,12222,0,8505
0,5.3734,55650,39081,1,10077,0,7021
1,5.1288,53200,63329,NULL,254,0,6440
0,4.1513,36050,21301,2,6049,0,4851
0,7.1005,37100,26964,1,7038,0,8085
0,3.8517,42700,29106,2,7340,0,3234
0,5.0549,53900,43036,2,10301,0,4697
0,7.4538,35000,22687,1,6524,0,7721
0,7.6895,32200,26012,2,6572,0,9723
0,6.4223,69650,72254,2,1988,0,4410
0,7.7552,25900,12236,2,5610,0,3983
0,9.1078,38500,41013,2,9807,0,8379
0,7.2287,50750,49112,1,10552,0,6440
0,8.65,53200,42210,2,9827,0,9611
0,7.1757,69300,77693,1,1753,0,10542
0,9.2865,46200,35777,1,9007,0,8379
0,7.9755,54950,54523,2,11268,0,8085
0,9.4898,29400,23198,1,6035,0,9471
0,8.6451,63350,56168,2,462,0,8701
1,7.4273,51100,29617,1,7432,0,15099
0,7.9732,56700,68866,1,101,0,8085
1,4.7555,57400,58653,1,12626,0,6335
0,9.2482,56700,52535,1,11411,0,8379
0,8.8042,48300,48377,2,11201,0,5971
0,9.8315,41300,44611,1,10009,0,16457
0,8.2444,25900,19859,2,5476,0,6258
0,9.7593,42350,38815,2,9085,0,4340
0,5.4696,61600,53389,2,11106,0,6440
1,6.1184,42700,46396,2,9710,0,3731
0,7.1158,41300,37667,1,9364,0,11361
0,8.012,61600,79702,2,1401,0,7791
0,7.7135,25200,15078,2,5318,0,4802
0,9.4203,42000,49196,2,10820,0,10395
0,4.9408,37100,42007,2,8767,0,3374
0,3.2713,61600,53081,2,11974,0,5754
0,8.0444,54600,46837,1,10468,0,5971
0,6.0559,63000,76867,1,1448,0,11921
0,8.9452,67900,58702,1,12933,0,10521
0,9.732,50400,42917,1,10412,0,7371
0,6.3456,46200,60704,1,12501,0,5775
0,8.7463,28000,17661,2,5078,0,6881
0,9.1071,67200,86520,1,2940,0,12418
0,7.0029,59850,51716,1,11991,0,13818
1,6.2846,60550,84056,1,2167,0,7826
0,4.4281,59150,61439,2,12066,0,5348
0,6.006,46200,38570,1,8928,0,4410
0,5.2526,53550,40943,1,8918,0,5635
0,8.5042,56000,51149,1,11770,0,15064
0,8.3135,52150,43841,1,11543,0,15974
0,10.7337,30450,27223,1,7576,0,10150
0,7.6898,35700,39648,2,9368,0,8085
0,6.9654,50750,52031,3,11483,0,9191
0,7.4187,56000,54579,2,12575,0,9723
0,7.6007,53200,57169,1,11792,0,4802
0,7.5878,50400,38682,1,9629,0,6440
0,4.4437,51800,37107,1,9118,0,3374
0,8.7839,35000,32886,2,7935,0,5971
0,8.2246,45500,37457,1,9395,0,15064
0,6.6282,49000,39788,1,9782,0,9191
0,8.84,34300,28875,1,8454,0,6881
1,7.665,35000,26026,3,6581,0,13461
0,6.0886,63700,53403,2,11653,0,7140
0,7.594,48300,45612,2,10549,0,8085
0,5.6039,48300,42763,2,10297,0,8757
0,4.9097,36400,23240,1,6763,0,7322
0,5.1127,67200,70700,2,515,0,6440
0,7.7697,54250,50386,1,11154,0,13818
0,7.2216,43400,36064,1,8380,0,8904
1,8.6003,32200,20720,1,6392,0,16254
0,4.7019,31500,12803,2,4781,0,12383
0,6.675,66500,71708,2,1313,0,8505
0,7.6365,54250,54999,1,12674,0,13818
0,9.8358,35000,34818,2,8866,0,17465
0,7.0322,38500,33411,2,8281,0,3983
0,8.91,51100,51226,2,11472,0,15064
0,7.1542,30800,19313,1,5405,0,6902
0,7.3402,67550,72485,2,1112,0,9723
0,9.7902,35700,28938,1,7620,0,7455
0,3.2671,52500,49420,1,11075,0,4074
0,8.9417,65800,58037,2,12676,0,10521
0,3.5655,58800,65989,2,12236,0,4074
0,4.0909,67200,70665,2,1191,0,6825
0,7.0868,44800,34734,1,10332,0,8904
0,5.1125,50400,52192,2,11576,0,6440
0,8.6341,29400,20356,1,5387,0,10801
0,5.4421,51450,49364,2,10239,0,4116
0,5.0456,37100,23240,1,6025,0,12600
0,8.1646,43400,47726,2,10620,0,6881
0,7.7281,44450,29036,1,7655,0,8085
0,6.1612,58800,52381,2,11618,0,4410
0,7.7861,37450,38346,2,9014,0,6440
0,7.6659,37450,31458,2,7962,0,3983
0,5.6849,58800,68418,1,846,0,7021
0,8.4747,50750,44905,2,10495,0,9611
0,7.209,60200,95263,1,2387,0,8904
0,8.282,54600,63322,1,394,0,9611
0,8.0341,39900,24619,1,6906,0,14441
0,10.781,27300,25690,2,6962,0,9030
0,11.0055,28350,26845,2,6947,0,8512
0,6.6708,68250,53284,1,11272,0,7826
0,5.476,39550,22701,1,6864,0,5278
0,7.3993,51800,56938,2,11951,0,8085
0,6.7795,41300,33075,1,8318,0,7140
0,7.1585,35350,23086,2,6433,0,10542
0,7.5031,61950,97734,1,2855,0,5621
0,8.2617,56000,48867,1,11154,0,9611
0,6.2316,42700,37604,1,8952,0,7826
0,8.0896,34300,18844,2,5343,0,8071
0,7.5149,48650,36162,3,8106,0,3983
0,7.6712,40600,42637,1,10792,0,9723
0,8.1209,63700,47852,1,11319,0,6881
0,5.479,54600,46529,1,10252,0,10500
0,8.6471,51800,52724,2,11637,0,15064
0,8.4963,51450,39109,1,9351,0,10801
1,7.9092,52500,73941,NULL,1307,0,7266
0,7.1227,35350,22988,1,6101,0,15099
0,2.583,42350,25466,2,6570,0,3234
1,6.4139,39550,24822,2,7063,0,5831
1,6.4407,55300,49735,NULL,12308,0,7826
1,9.2537,31850,0,1,2,0,11487
0,6.7744,57050,34531,2,8746,0,21805
0,9.7346,36750,34426,1,8714,0,6363
0,9.5055,66850,59031,1,2058,0,11410
0,6.3944,55650,41307,1,10110,0,7140
0,8.2712,29050,18046,2,6011,0,4158
0,8.201,63700,112301,1,3092,0,5971
0,7.0235,43750,24248,2,6894,0,8904
0,6.6699,38500,26936,1,7202,0,5775
0,8.6495,24850,25221,2,7197,0,8701
1,5.2492,34895,NA,2,0,0,5278
0,6.2529,54775,48013,1,8091,0,8505
0,6.8473,47670,48447,2,8145,0,11921
0,4.0556,42700,31619,1,5535,0,4361
0,6.9946,53375,26376,1,5058,0,13342
1,8.1858,48895,0,1,2,0,15974
0,8.1835,36715,39550,1,6837,0,45633
1,8.5629,72030,61376,NULL,11039,0,12621
0,5.3292,43785,32249,1,7725,0,7021
1,8.0531,38325,36505,1,7008,0,9611
0,7.3576,63035,55090,1,9622,0,5621
0,6.1524,52255,44128,1,7829,0,5775
1,6.4381,52465,33229,NULL,6053,0,14021
1,8.2007,32655,29869,2,5851,0,15064
0,9.5657,59535,47831,1,10893,0,13510
0,4.7662,72205,72170,1,12322,0,6825
1,7.0214,15610,17346,2,3675,0,8540
1,8.924,53865,66304,NULL,11594,0,10521
1,8.975,36925,40663,2,7231,0,15064
0,4.5593,70070,56798,2,9698,0,6825
0,5.061,67095,78505,2,265,0,7602
0,5.5844,41825,41552,2,7558,0,4697
0,6.2107,29855,20160,2,4015,0,5096
0,5.8203,58835,63854,2,10919,0,7602
0,6.5711,46795,52780,2,8798,0,7140
0,8.8353,23380,34804,1,6512,0,8701
0,7.7678,53165,49175,1,11181,0,10542
0,6.2212,46795,43295,2,7712,0,7826
0,7.6302,31955,33306,1,6257,0,8085
1,7.3731,36925,24192,NULL,4766,0,5621
1,9.1888,28980,26964,2,5038,0,6363
1,4.6237,28980,19670,2,3955,0,5474
0,6.882,57365,50337,1,9409,0,5775
0,5.9634,48195,37821,1,9657,0,7021
0,7.0425,29855,20237,2,4121,0,8085
0,6.3761,50295,50421,2,8784,0,11921
1,8.8176,40425,38878,NULL,6899,0,17164
1,7.5513,30555,18795,2,3932,0,11823
0,6.1126,43995,35833,2,6447,0,3731
0,7.4134,19810,12138,2,3277,0,10185
1,7.0788,48895,37933,1,6963,0,15918
0,6.2838,53865,40831,1,7242,0,7140
0,7.5635,56665,44233,2,7846,0,4802
0,9.7016,41125,47033,1,8749,0,7371
0,6.9971,39725,63091,1,11023,0,5096
0,6.3029,63735,53557,2,9119,0,8505
0,8.0706,55265,50708,1,12575,0,15064
0,4.9794,41125,33859,1,6462,0,5838
0,7.9435,41125,35630,2,6852,0,13818
0,5.6676,33425,30555,2,5445,0,7602
1,6.8387,29925,20566,NULL,4269,0,7140
0,5.6092,41895,21112,2,6474,0,3535
0,8.8072,27650,17108,1,3635,0,12621
1,5.1215,55335,50421,2,8784,0,10500
1,7.408,49455,47523,NULL,9002,0,8085
0,5.4558,49455,33964,1,6034,0,5859
1,7.2035,40495,48258,NULL,7878,0,5621
1,6.0059,44065,33173,2,6275,0,7140
0,5.5986,39795,22288,2,4489,0,11662
1,6.6578,54565,68117,1,11832,0,5096
1,8.1862,28280,23856,2,4604,0,4158
1,7.3693,34055,18109,2,3854,0,8085
0,5.4522,43225,33607,2,6146,0,11662
1,7.7456,57365,66493,NULL,11978,0,10542
1,5.429,34755,20783,2,4127,0,3535
0,7.8508,24500,19033,1,4397,0,14280
0,6.3709,47495,53333,2,9672,0,7826
0,7.3383,41125,41174,2,7642,0,5621
1,5.4069,41965,20195,NULL,4009,0,25732
0,9.0643,26775,24150,2,4758,0,8463
1,6.9407,74655,49378,NULL,8681,0,10605
0,7.8106,41965,22764,1,6584,0,8540
0,4.4717,29960,16233,1,3520,0,6951
0,6.4056,42175,32935,1,6848,0,7826
0,7.8278,32410,22617,1,4444,0,13461
0,8.7873,64785,48720,1,12558,0,8701
1,9.183,65345,43932,NULL,9038,0,15526
0,8.6858,39025,27888,1,7589,0,15064
0,7.8859,44695,51583,1,11688,0,6440
0,7.8832,28980,28378,2,5759,0,8085
0,5.7583,46095,33824,2,6038,0,4697
0,6.4436,75005,51849,1,11811,0,9877
0,6.6212,30555,17885,1,3889,0,15386
0,7.8616,32655,21805,2,6605,0,3983
0,5.3786,54565,41937,1,10805,0,10500
1,9.2877,21700,19474,NULL,4084,0,17542
0,8.6812,40425,49406,1,8563,0,15064
1,8.2382,52255,38605,NULL,6995,0,7161
0,6.3756,59885,45388,1,9793,0,11242
1,7.2668,48895,68075,2,11164,0,5621
0,7.8213,43225,34293,2,6060,0,3983
0,8.2989,51065,49175,1,8911,0,14154
0,5.8897,58135,55944,2,12082,0,7021
1,7.4844,57715,65247,NULL,11714,0,12180
1,6.3732,26845,24171,NULL,4405,0,9240
0,7.3688,57085,45682,1,8272,0,13818
0,7.2849,42245,45409,2,7903,0,7266
0,8.7459,47215,0,2,2,0,15974
0,9.5776,48405,47033,1,8377,0,11487
0,7.4633,51485,54439,1,12510,0,11361
0,5.3163,44415,38297,2,6551,0,7602
0,7.1809,46865,37527,1,10023,0,6440
0,6.0843,63105,72751,1,13182,0,8505
1,3.939,43855,27608,NULL,5274,0,10367
0,7.1105,53235,38850,1,7797,0,25669
0,7.4014,50365,44877,2,11097,0,13818
1,7.5611,42525,41706,NULL,7442,0,6440
1,5.7,39165,26502,NULL,5222,0,6797
0,5.629,35455,23625,2,4550,0,4697
0,6.6594,30555,29736,2,5424,0,5096
1,7.0224,36715,34489,NULL,6196,0,8085
0,4.993,38325,30177,2,8716,0,3374
1,8.0589,35910,22393,NULL,4322,0,17164
1,5.7433,39725,36890,NULL,6931,0,6440
0,6.1856,60935,50813,1,12193,0,9191
0,6.5615,31010,45689,2,9971,0,7140
0,8.3624,64540,53312,2,11776,0,4158
0,8.1651,52570,67613,1,661,0,9611
0,7.2232,39830,45108,2,10294,0,6440
0,4.1852,42630,24325,2,6864,0,11396
1,6.077,58590,49987,1,11417,0,6461
0,7.8416,67725,57834,1,12413,0,12180
0,7.8619,31360,35980,2,8622,0,3983
0,8.6182,34860,37898,2,8959,0,10521
0,8.361,34860,38857,1,9645,0,6881
1,8.1352,46200,50400,1,11254,0,9611
0,5.6289,58240,61908,2,11306,0,3535
1,6.7234,66675,66633,NULL,948,0,8505
0,7.4614,61040,45038,2,10157,0,3983
0,6.7407,53270,49560,2,10969,0,3731
1,8.8193,44800,37282,NULL,9623,0,14441
0,8.8263,31360,25284,2,7082,0,8701
0,5.1023,39830,35399,2,8804,0,6440
0,8.5364,42000,46683,2,9548,0,5971
0,6.8678,63210,53053,1,182,0,10556
0,7.4312,70245,73332,1,950,0,3983
0,6.4492,51240,57043,2,11722,0,7140
0,5.5396,41300,35805,2,8965,0,3535
0,8.6258,36330,37849,2,8956,0,5971
0,8.1025,33530,29407,2,8255,0,5971
0,7.3539,54740,60914,2,12623,0,5621
0,5.6934,33530,22785,2,6059,0,6440
1,6.655,54740,42805,2,12033,0,7875
0,3.4777,43400,37702,2,9013,0,4074
0,5.4894,43400,31521,2,7845,0,10500
0,5.0835,45570,43190,2,9598,0,7602
0,4.3697,37100,27937,2,7476,0,3374
0,6.563,43400,27342,2,7266,0,5096
0,4.0379,45570,36708,2,8746,0,3374
0,6.5065,59710,52031,1,11243,0,11921
0,6.8899,60410,49266,1,11493,0,11921
0,8.3176,39900,39039,2,9364,0,5971
0,5.9998,58310,63735,2,12004,0,6440
0,5.708,58310,58807,1,12390,0,7021
0,8.3563,63910,66808,1,10,0,12341
0,7.0838,38500,36687,2,9063,0,9723
0,7.2549,68845,83181,2,1609,0,9723
1,6.1251,44170,39704,2,9549,0,9877
1,7.5406,55720,46004,1,10717,0,11361
0,8.3703,70875,55769,1,12138,0,4158
0,8.0838,51520,56742,1,12922,0,12341
0,7.902,39480,25564,1,7168,0,6440
1,6.1935,39480,29400,NULL,7591,0,8505
0,4.4183,68425,48944,2,9883,0,3374
0,8.0303,63490,51009,2,11106,0,4158
0,6.3774,58975,46613,1,10475,0,8505
0,5.5727,46200,37968,2,9532,0,7021
0,5.8626,41230,36470,2,8900,0,7602
0,8.87,24185,30009,2,8317,0,4158
0,5.6259,32760,19033,2,5472,0,6440
0,7.9328,80080,79275,1,2625,0,8085
0,4.2558,39830,40453,1,9618,0,6335
1,8.4663,25585,23681,1,7186,0,6881
0,7.2159,68075,85008,1,1997,0,5621
0,8.817,39130,28616,1,7287,0,5971
